from,to ,relationship,collab,conflict
ATL,COLD,0,2,0
ATL,GO,0,2,0
ATL,KMG,0,2,0
ATL,KOS,0,2,0
ATL,MB,6,1,0
ATL,T,6,1,0
BAZ,DAZ,6,1,0
BAZ,SD,6,1,0
BB,BIG,0,0,0
BB,BR,0,0,0
BB,CB,0,0,0
BB,CHT,0,0,0
BB,CM,0,0,0
BB,DA,0,0,0
BB,DEP,0,0,0
BB,EMB,0,0,0
BB,FE,0,0,0
BB,DJ,0,0,0
BB,JK,0,0,0
BB,KR,0,0,0
BB,LK,0,0,0
BB,M,0,0,0
BB,MC,0,0,0
BB,MK,0,0,0
BB,MS,0,0,0
BB,MW,0,0,0
BB,PD,0,0,0
BB,PL,0,0,0
BB,QP,0,0,0
BB,RAL,0,0,0
BB,SH,0,0,0
BB,SJ,0,0,0
BB,SL,0,0,0
BB,STY,0,0,0
BB,TAN,0,0,0
BB,TL,0,0,0
BB,TT,0,0,0
BB,TWO,0,0,0
BB,YL,0,0,0
BIG,BU,1,1,0
BIG,CB,1,1,0
BIG,CDV,1,1,0
BIG,CP,1,1,0
BIG,LA,1,1,0
BIG,LC,1,1,0
BIG,MCK,1,2,0
BIG,PD,1,1,0
BIG,T,1,1,0
BIG,TRI,1,1,0
CB,CDV,1,1,0
CB,CP,1,1,0
CB,LA,1,1,0
CB,MCK,1,2,0
CB,TRI,1,1,0
CDV,BU,1,1,0
CDV,CP,1,1,0
CDV,LA,1,1,0
CDV,MCK,1,2,0
CDV,TRI,1,1,0
CHT,BIG,6,1,0
CM,BIG,6,1,0
CP,BU,1,1,0
CP,MCK,1,2,0
CPO,DD,6,1,0
CPO,SD,6,1,0
CT,PD,6,0,0
DA,BIG,6,1,0
DAZ,CL,6,1,0
DAZ,SOO,6,1,0
DAZ,T,6,1,0
DBOY,CL,6,1,0
DBOY,DAZ,6,1,0
DBOY,DD,6,1,0
DBOY,EW,6,1,0
DBOY,KPT,6,1,0
DBOY,SD,6,1,0
DBOY,T,1,1,0
DBOY,TLOR,6,1,0
DD,DG,6,2,1
DD,ML,3,1,0
DD,SN,1,2,3
DD,TD,1,1,0
DD,TDP,1,1,0
DEP,BR,1,0,0
DEP,PD,6,2,0
DiUn,CH,0,2,0
DiUn,DF,0,2,0
DiUn,MB,0,2,0
DiUn,PW,0,2,0
DiUn,ScS,0,2,0
DiUn,SG,0,2,0
DiUn,T,0,2,0
DJ,MK,1,2,0
DJQ,T,6,1,0
DR,ATL,0,0,0
DR,BAZ,0,0,0
DR,BD,0,0,0
DR,BPD,0,0,0
DR,CL,0,0,0
DR,COLD,0,0,0
DR,CPO,0,0,0
DR,DAZ,0,0,0
DR,DBOY,0,0,0
DR,DD,0,0,0
DR,DG,0,0,0
DR,DJ,0,0,0
DR,EDI,0,0,0
DR,EW,0,0,0
DR,FS,0,0,0
DR,GO,0,0,0
DR,GP,0,0,0
DR,HUS,0,0,0
DR,JF,0,0,0
DR,JW,0,0,0
DR,KAS,0,0,0
DR,KDG,0,0,0
DR,KMG,0,0,0
DR,KOS,0,0,0
DR,KPT,0,0,0
DR,LIL,0,0,0
DR,LL,0,0,0
DR,LMB,0,0,0
DR,MAM,0,0,0
DR,MCH,0,0,0
DR,ML,0,0,0
DR,MS,0,0,0
DR,MUSS,0,0,0
DR,NAP,0,0,0
DR,ND,0,0,0
DR,OFTB,0,0,0
DR,OUT,0,0,0
DR,PIJ,0,0,0
DR,RBX,0,0,0
DR,RE,0,0,0
DR,SAM,0,0,0
DR,SD,0,0,0
DR,SG,0,0,0
DR,SN,0,0,0
DR,SOO,0,0,0
DR,T,0,0,0
DR,TD,0,0,0
DR,TDP,0,0,0
DR,TLOR,0,0,0
DR,TMY,0,0,0
DR,TP,0,0,0
DR,TR,0,0,0
DR,YAK,0,0,0
DR,YS,0,0,0
EDI,T,0,1,0
EMB,BIG,6,1,0
EMB,CM,6,1,0
EMB,T,6,1,3
EW,CL,6,1,0
EW,KPT,6,1,0
EW,LL,6,1,0
FE,BIG,5,1,0
FE,SJ,5,1,0
FE,T,3,2,3
GP,DAZ,6,1,0
HUS,T,0,1,0
JF,DAZ,6,1,0
JF,DD,6,1,0
JF,SN,6,1,0
JF,TP,6,1,0
JK,SL,1,1,0
JuMa,BU,0,2,0
JuMa,CB,0,2,0
JuMa,CDV,0,2,0
JuMa,CP,0,2,0
JuMa,LA,0,2,0
JuMa,LC,0,2,0
JuMa,LK,0,2,0
JuMa,MCK,0,2,0
JuMa,BIG,0,2,0
JuMa,NB,0,2,0
JuMa,TRI,0,2,0
JW,DD,6,1,0
JW,SD,6,1,0
JW,T,6,1,0
KAS,T,0,1,0
KDG,T,7,1,0
KPT,CL,6,1,0
KPT,DAZ,1,1,0
KPT,DJ,6,1,0
KPT,SN,6,1,0
KPT,SOO,6,1,0
KR,KS,1,1,0
KR,PL,1,2,0
KS,PL,1,2,0
LA,BU,1,1,0
LA,CP,1,1,0
LA,MCK,1,2,0
LC,BU,1,1,0
LC,CB,1,1,0
LC,CDV,1,1,0
LC,CP,1,1,0
LC,LA,1,1,0
LC,MCK,1,2,0
LC,TRI,1,1,0
LIL,SD,6,1,3
LIL,SN,6,1,0
LIL,SOO,6,1,0
LIL,T,6,1,0
LK,BIG,3,1,0
LK,BU,1,1,0
LK,CB,1,1,0
LK,CDV,1,1,0
LK,CP,1,1,0
LK,FE,2,2,3
LK,LA,1,1,0
LK,LC,1,1,0
LK,MCK,1,2,0
LK,TRI,1,1,0
LL,T,1,2,0
LMB,BD,6,1,0
LMB,FS,6,1,0
M,BR,6,0,0
M,TT,0,2,0
MC,PD,6,1,0
MCH,DBOY,6,2,0
MCH,DD,6,1,0
MCH,T,1,2,0
MCK,BU,1,2,0
MK,MSC,1,2,0
ML,TD,6,1,0
MSC,DJ,1,2,0
MUSS,T,0,2,0
NAP,T,0,2,0
ND,DAZ,6,1,0
ND,DD,6,1,0
ND,KPT,6,1,0
ND,SD,6,1,0
ND,T,6,1,0
ND,TD,6,1,0
OFTB,BD,6,2,0
OFTB,DD,6,1,0
OFTB,FS,6,2,0
OFTB,KPT,6,1,0
OFTB,LMB,6,2,0
OFTB,T,1,1,0
QP,DJ,1,1,0
QP,MSC,1,2,0
RAL,BIG,1,1,0
RBX,DD,6,1,0
RBX,SD,7,1,0
RE,KPT,7,2,0
RE,T,6,2,0
SAM,DAZ,6,1,0
SAM,DBOY,6,1,0
SAM,DD,6,1,0
SAM,JF,0,2,0
SAM,JW,6,1,0
SAM,KPT,6,1,0
SAM,ND,0,2,0
SAM,SD,6,1,0
SD,DAZ,7,1,0
SD,DD,1,1,0
SD,KPT,1,2,0
SD,PD,6,1,0
SD,T,1,1,0
SD,TD,1,1,0
SG,DAZ,6,1,0
SJ,BIG,6,1,0
SJ,DAZ,7,1,0
SN,PD,0,0,3
SN,T,1,1,0
STY,JK,1,1,0
STY,SL,1,1,0
T,SG,1,1,0
TDP,T,6,2,0
TL,BIG,6,1,0
TL,JK,0,0,0
TL,LK,6,1,0
TL,SL,0,0,0
TL,STY,0,0,0
TLOR,DAZ,6,1,0
TLOR,DD,1,1,0
TLOR,JF,6,1,0
TLOR,KPT,6,1,0
TLOR,SAM,6,1,0
TLOR,SD,1,1,0
TLOR,T,6,1,0
TMY,DD,6,1,0
TMY,SD,6,1,0
TMY,T,6,1,0
TP,DD,6,1,0
TP,EW,6,1,0
TP,T,6,1,0
TP,TR,6,1,0
TR,CL,6,1,0
TR,DD,6,1,0
TR,KPT,6,1,0
TR,SD,6,1,0
TR,SG,6,1,0
TR,T,6,1,0
TR,TD,6,1,0
TRI,BU,1,1,0
TRI,CP,1,1,0
TRI,LA,1,1,0
TRI,MCK,1,2,0
TT,KR,0,0,0
TT,KS,0,0,0
TT,PL,0,0,0
TWO,BIG,6,1,0
YAK,T,1,0,0
YL,PD,1,2,0